median_error,mean_error,p95_error,scale,offset_minutes,n
3078.5867,3067.170462745098,3306.5113499999998,0.01,-600,51
3078.674,3048.4989721153843,3303.1676175000002,0.01,-30,52
3078.7249,3048.505354807692,3303.2409900000002,0.01,-60,52
3090.3200850000003,3067.009814347826,3332.1316662500003,0.001,300,46
3090.34037,3070.6461553,3329.2266412500003,0.001,0,50
3090.3682475,3077.1861676923077,3335.88060775,0.001,-540,52
3091.178,3054.1938641304355,3303.8158500000004,0.01,150,46
3091.259225,3063.7236666666668,3308.9438099999998,0.01,-690,48
3106.438755,3077.122133292683,3339.55537,0.001,630,41
3106.441965,3074.2989818292685,3339.5700150000002,0.001,600,41
3106.442265,3075.382447790698,3337.2451725,0.001,660,43
3106.4642750000003,3072.3208435106385,3332.661254,0.001,240,47
3106.46815,3086.625089390244,3339.5334850000004,0.001,720,41
3106.47066,3086.7784107317075,3339.5299750000004,0.001,690,41
3106.470815,3072.321909148936,3332.6584405,0.001,270,47
3106.472615,3076.292284903847,3333.2776565,0.001,-150,52
3106.4742850000002,3078.920302142857,3338.408114,0.001,570,42
3106.4756475000004,3076.253595108695,3333.8042649999998,0.001,210,46
3106.4790325,3076.2916170192307,3333.280495,0.001,-120,52
3106.481155,3087.321643775511,3338.4438499999997,0.001,-630,49
3106.4813875,3082.5924936111114,3341.5362935000003,0.001,-510,54
3106.48248,3079.187766636364,3341.244929,0.001,-420,55
3106.48285,3081.6365510784312,3336.7307925,0.001,-660,51
3106.482865,3083.9693850961535,3342.1199917500003,0.001,-240,52
3106.483495,3079.1865063636365,3341.249178,0.001,-210,55
3106.483495,3079.1884670909085,3341.250022,0.001,-180,55
3106.4840950000003,3082.189701666666,3341.541356,0.001,-270,54
3106.4845450000003,3072.2239126041663,3331.51933625,0.001,90,48
3106.48549,3079.188028181818,3341.248523,0.001,-480,55
3106.4857700000002,3079.188958454546,3341.244172,0.001,-360,55
3106.48714,3079.036166702128,3332.6605990000003,0.001,120,47
3106.48741,3079.1878196363627,3341.244338,0.001,-390,55
3106.48756,3079.1887854545453,3341.2429945,0.001,-330,55
3106.487795,3079.1883765454545,3341.251153,0.001,-300,55
3106.4892800000002,3079.275558888889,3334.945815,0.001,180,45
3106.48934,3075.113043125,3331.51819375,0.001,60,48
3106.48992,3079.187066272727,3341.2480515,0.001,-450,55
